Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,ITB 01,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
2,ITB 02,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
3,ITB 03,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
4,NO,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
5,ITB 05,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
6,ITB 06,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
7,ITB 07,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
8,ITB 08,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
9,ITB 09,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
10,ITB 10,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
11,ITB 11,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
12,ITB 12,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
13,ITB 13,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
14,ITB 14,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
15,NO,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
16,NO,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
